FiscalYear,FiscalYearType,AccountName,AgencyName,OperatingUnit,Category,Sector,Amount
2008,FY 2008 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Kazakhstan,Health,Tuberculosis,600000
2008,FY 2008 Actual Base,Economic Support Fund,DOS and USAID,Europe and Eurasia Regional (DOS & USAID),Humanitarian Assistance,"Protection, Assistance and Solutions",1900000
2012,FY 2012 Foreign Military Financing Base - OCO,Economic Support Fund - OCO,DOS and USAID,Pakistan,Economic Development,Financial Sector,34340000
2013,FY 2013 Actual Base,International Narcotics Control and Law Enforcement,DOS and USAID,Georgia,Peace and Security,Stabilization Operations and Security Sector Reform,3809000
2013,FY 2013 Actual Base,International Military Education and Training,DOS and USAID,Lithuania,Peace and Security,Stabilization Operations and Security Sector Reform,1140000
2013,FY 2013 Actual Base,Economic Support Fund,DOS and USAID,Georgia,Peace and Security,Conflict Mitigation and Reconciliation,404000
2007,FY 2007 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Ukraine,Education and Social Services,Higher Education,558000
2011,FY 2011 Actual Base,Economic Support Fund,DOS and USAID,South Sudan,Health,Water Supply and Sanitation,6000000
2010,FY 2010 Actual Base,Development Assistance,DOS and USAID,East Africa Regional Office (USAID),Environment,Environment,6444000
2010,FY 2010 Actual Base,Global Health Programs - USAID,DOS and USAID,Burma,Health,HIV/AIDS,1802000
2006,FY 2006 Actual Base,Development Assistance,DOS and USAID,Paraguay,Economic Development,Private Sector Competitiveness,700000
2007,FY 2007 Actual Base,Economic Support Fund,DOS and USAID,Afghanistan,Education and Social Services,Higher Education,16844000
2010,FY 2010 Actual Base,Peacekeeping Operations,DOS and USAID,Uganda,Peace and Security,Stabilization Operations and Security Sector Reform,4000000
2015,FY 2015 Request,International Military Education and Training,DOS and USAID,Malawi,Peace and Security,Stabilization Operations and Security Sector Reform,240000
2009,FY 2009 Supp,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Georgia,Economic Development,Infrastructure,112500000
2007,FY 2007 Actual Base,Economic Support Fund,DOS and USAID,Yemen,Education and Social Services,Basic Education,3000000
2013,FY 2013 Actual Base,Development Assistance,DOS and USAID,"Bureau for Economic Growth, Agriculture and Trade (USAID)",Economic Development,Private Sector Competitiveness,3657000
2013,FY 2013 Actual Base,International Military Education and Training,DOS and USAID,Uzbekistan,Peace and Security,Stabilization Operations and Security Sector Reform,299000
2010,FY 2010 Actual Base,Development Assistance,DOS and USAID,Bangladesh,Peace and Security,Transnational Crime,915000
2012,FY 2012 Actual Base,Economic Support Fund,DOS and USAID,Jordan,"Democracy, Human Rights, and Governance",Civil Society,8000000
2007,FY 2007 Actual Base,Development Assistance,DOS and USAID,Asia Middle East Regional Office (USAID),Program Management,Monitoring and Evaluation,1290000
2015,FY 2015 Request,Economic Support Fund,DOS and USAID,Georgia,"Democracy, Human Rights, and Governance",Political Competition and Consensus-Building,4250000
2010,FY 2010 Actual Base,Global Health Programs - USAID,DOS and USAID,Ethiopia,Health,Family Planning and Reproductive Health,23044000
2007,FY 2007 Actual Base,Food for Peace Title II,DOS and USAID,Mali,Economic Development,Agriculture,1027000
2010,FY 2010 Actual Base,Development Assistance,DOS and USAID,Africa Regional Office (USAID),Economic Development,Agriculture,15000000
2009,FY 2009 Actual Base,Economic Support Fund,DOS and USAID,Middle East Regional Office (USAID),"Democracy, Human Rights, and Governance",Civil Society,295000
2008,FY 2008 Actual Base,Economic Support Fund,DOS and USAID,Philippines,Peace and Security,Stabilization Operations and Security Sector Reform,4000000
2010,FY 2010 Actual Base,"Nonproliferation, Antiterrorism, Demining and Related Programs",DOS and USAID,Bosnia and Herzegovina,Peace and Security,Stabilization Operations and Security Sector Reform,450000
2012,FY 2012 Actual Base,Development Assistance,DOS and USAID,South Africa,Economic Development,Private Sector Competitiveness,3848000
2010,FY 2010 Actual Base,Foreign Military Financing,DOS and USAID,Jamaica,Peace and Security,Stabilization Operations and Security Sector Reform,700000
2010,FY 2010 Actual Base,International Military Education and Training,DOS and USAID,Libya,Peace and Security,Stabilization Operations and Security Sector Reform,319000
2013,FY 2013 Actual Base,Foreign Military Financing,DOS and USAID,Croatia,Peace and Security,Stabilization Operations and Security Sector Reform,2374000
2009,FY 2009 Actual Base,Economic Support Fund,DOS and USAID,Middle East Partnership Initiative (DOS),Economic Development,Private Sector Competitiveness,4900000
2010,FY 2010 Actual Base,"Nonproliferation, Antiterrorism, Demining and Related Programs",DOS and USAID,Iraq,Peace and Security,Combating Weapons of Mass Destruction (WMD),3315000
2008,FY 2008 Actual Base,Foreign Military Financing,DOS and USAID,Egypt,Peace and Security,Stabilization Operations and Security Sector Reform,1289470000
2011,FY 2011 Actual Base,N/A,DoD,Tajikistan,Peace and Security,Counter-Narcotics,7069000
2006,FY 2006 Actual Base,Development Assistance,DOS and USAID,Kenya,Health,Water Supply and Sanitation,3172000
2012,FY 2012 Actual Base,Economic Support Fund,DOS and USAID,Jordan,Health,Water Supply and Sanitation,20000000
2010,FY 2010  Foreign Military Financing Base - OCO,Economic Support Fund - OCO,DOS and USAID,Afghanistan,Peace and Security,Stabilization Operations and Security Sector Reform,35000000
2010,FY 2010 Actual Base,Global Health Programs - USAID,DOS and USAID,Laos,Program Management,Direct Administrative Costs,89000
2007,FY 2007 Actual Base,Economic Support Fund,DOS and USAID,Guatemala,"Democracy, Human Rights, and Governance",Political Competition and Consensus-Building,142000
2014,FY 2014 Request,"Nonproliferation, Antiterrorism, Demining and Related Programs",DOS and USAID,South and Central Asia Regional Office (DOS),Peace and Security,Combating Weapons of Mass Destruction (WMD),430000
2012,FY 2012 Actual Base,International Military Education and Training,DOS and USAID,Ghana,Peace and Security,Stabilization Operations and Security Sector Reform,759000
2013,FY 2013 Actual Base,Economic Support Fund,DOS and USAID,Mexico,"Democracy, Human Rights, and Governance",Rule of Law and Human Rights,20854000
2007,FY 2007 Actual Base,Foreign Military Financing,DOS and USAID,Jordan,Peace and Security,Stabilization Operations and Security Sector Reform,196200000
2015,FY 2015 Request,Foreign Military Financing,DOS and USAID,Bulgaria,Peace and Security,Stabilization Operations and Security Sector Reform,5000000
2014,FY 2014 Request,Development Assistance,DOS and USAID,"Bureau for Democracy, Conflict, and Humanitarian Assistance (USAID)",Peace and Security,Transnational Crime,1500000
2006,FY 2006 Actual Base,Development Assistance,DOS and USAID,South Africa,Economic Development,Agriculture,2850000
2012,FY 2012 Actual Base,Global Health Programs - USAID,DOS and USAID,Bolivia,Health,Family Planning and Reproductive Health,8100000
2009,FY 2009 Actual Base,Foreign Military Financing,DOS and USAID,Croatia,Peace and Security,Stabilization Operations and Security Sector Reform,1000000
2012,FY 2012 Actual Base,Development Assistance,DOS and USAID,Sri Lanka,"Democracy, Human Rights, and Governance",Civil Society,1500000
2007,FY 2007 Actual Base,"Nonproliferation, Antiterrorism, Demining and Related Programs",DOS and USAID,Cambodia,Peace and Security,Counterterrorism,50000
2010,FY 2010 Actual Base,Global Health Programs - USAID,DOS and USAID,Democratic Republic of Congo,Health,Maternal and Child Health,12972000
2006,FY 2006 Actual Base,International Narcotics Control and Law Enforcement,DOS and USAID,Venezuela,Peace and Security,Counter-Narcotics,2229000
2011,FY 2011 Actual Base,Food for Peace Title II,DOS and USAID,Madagascar,Health,Nutrition,3122000
2011,FY 2011 Actual Base,Economic Support Fund,DOS and USAID,China,Education and Social Services,Social Services,2350000
2010,FY 2010 Actual Base,Development Assistance,DOS and USAID,South Africa,Economic Development,Agriculture,2000000
2007,FY 2007 Actual Base,Development Assistance,DOS and USAID,Office of Development Partners (USAID),Humanitarian Assistance,"Protection, Assistance and Solutions",382000
2014,FY 2014 Request,Economic Support Fund,DOS and USAID,Kyrgyz Republic,"Democracy, Human Rights, and Governance",Political Competition and Consensus-Building,1000000
2010,FY 2010 Actual Base,Global Health Programs - USAID,DOS and USAID,Latin America and Caribbean Regional Office (USAID),Program Management,Direct Administrative Costs,1247000
2014,FY 2014 Request,Economic Support Fund,DOS and USAID,Ukraine,"Democracy, Human Rights, and Governance",Rule of Law and Human Rights,3590000
2010,FY 2010 Actual Base,Global Health Programs - USAID,DOS and USAID,Ethiopia,Health,Nutrition,3645000
2007,FY 2007 Actual Base,Development Assistance,DOS and USAID,Ecuador,"Democracy, Human Rights, and Governance",Civil Society,5000
2011,FY 2011 Actual Base,Global Health Programs - USAID,DOS and USAID,Ghana,Health,Nutrition,5389000
2013,FY 2013 Foreign Military Financing Base - OCO,Economic Support Fund - OCO,DOS and USAID,Middle East Partnership Initiative (DOS),Education and Social Services,Higher Education,9644000
2008,FY 2008 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Albania,"Democracy, Human Rights, and Governance",Political Competition and Consensus-Building,105000
2013,FY 2013 Actual Base,Development Assistance,DOS and USAID,Timor-Leste,Economic Development,Private Sector Competitiveness,3188000
2014,FY 2014 Request,Peacekeeping Operations,DOS and USAID,Multinational Force and Observers (DOS),Peace and Security,Stabilization Operations and Security Sector Reform,28000000
2013,FY 2013 Actual Base,Development Assistance,DOS and USAID,Philippines,"Democracy, Human Rights, and Governance",Civil Society,1000000
2009,FY 2009 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Kyrgyz Republic,Economic Development,Agriculture,2901000
2012,FY 2012 Actual Base,Foreign Military Financing,DOS and USAID,Lebanon,Peace and Security,Stabilization Operations and Security Sector Reform,60000000
2011,FY 2011 Actual Base,Development Assistance,DOS and USAID,Nepal,Environment,Environment,9000000
2015,FY 2015 Request,Economic Support Fund,DOS and USAID,Georgia,Economic Development,Agriculture,3000000
2010,FY 2010 Actual Base,Food for Peace Title II,DOS and USAID,Burkina Faso,Health,Water Supply and Sanitation,864000
2012,FY 2012 Actual Base,International Military Education and Training,DOS and USAID,Mozambique,Peace and Security,Stabilization Operations and Security Sector Reform,456000
2009,FY 2009 Actual Base,Development Assistance,DOS and USAID,Southern Africa Regional Office (USAID),Economic Development,Financial Sector,500000
2009,FY 2009 Actual Base,Development Assistance,DOS and USAID,Mali,Economic Development,Agriculture,20000000
2011,FY 2011 Actual Base,International Military Education and Training,DOS and USAID,Lesotho,Peace and Security,Stabilization Operations and Security Sector Reform,186000
2007,FY 2007 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Ukraine,Health,HIV/AIDS,2946000
2013,FY 2013 Actual Base,Economic Support Fund,DOS and USAID,Haiti,Economic Development,Infrastructure,38655000
2008,FY 2008 Actual Base,Economic Support Fund,DOS and USAID,Middle East Partnership Initiative (DOS),Economic Development,Private Sector Competitiveness,5250000
2008,FY 2008 Actual Base,Development Assistance,DOS and USAID,West Africa Regional Office (USAID),Economic Development,Financial Sector,1061000
2010,FY 2010 Actual Base,Foreign Military Financing,DOS and USAID,Egypt,Peace and Security,Stabilization Operations and Security Sector Reform,1300000000
2010,FY 2010 Actual Base,Development Assistance,DOS and USAID,Bangladesh,Program Management,Monitoring and Evaluation,1345000
2008,FY 2008 Second Supp,Economic Support Fund,DOS and USAID,Iraq,Economic Development,Infrastructure,82000000
2012,FY 2012 Actual Base,International Organizations and Programs,DOS and USAID,International Organizations (DOS) - International Chemicals and Toxins Programs,Environment,Environment,3650000
2013,FY 2013 Actual Base,Global Health Programs - State,DOS and USAID,Haiti,Health,HIV/AIDS,129865000
2014,FY 2014 Request,Development Assistance,DOS and USAID,Peru,Peace and Security,Counter-Narcotics,27000000
2009,FY 2009 Actual Base,Economic Support Fund,DOS and USAID,China,Education and Social Services,Basic Education,100000
2011,FY 2011 Actual Base,International Narcotics Control and Law Enforcement,DOS and USAID,Paraguay,Peace and Security,Counter-Narcotics,300000
2007,FY 2007 Actual Supp,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Kosovo,Peace and Security,Conflict Mitigation and Reconciliation,5000000
2008,FY 2008 Actual Base,International Narcotics Control and Law Enforcement,DOS and USAID,Indonesia,Peace and Security,Counter-Narcotics,500000
2009,FY 2009 Actual Base,Development Assistance,DOS and USAID,Jamaica,"Democracy, Human Rights, and Governance",Good Governance,400000
2009,FY 2009 Actual Base,Development Assistance,DOS and USAID,Guyana,Economic Development,Trade and Investment,1000000
2011,FY 2011 Actual Base,Development Assistance,DOS and USAID,Brazil,Economic Development,Infrastructure,2500000
2011,FY 2011 Actual Base,Global Health Programs - State,DOS and USAID,Barbados and Eastern Caribbean (DOS & USAID),Health,HIV/AIDS,14550000
2012,FY 2012 Foreign Military Financing Base - OCO,Economic Support Fund - OCO,DOS and USAID,Pakistan,Humanitarian Assistance,Disaster Readiness,2940000
2006,FY 2006 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Azerbaijan,"Democracy, Human Rights, and Governance",Rule of Law and Human Rights,1514000
2008,FY 2008 Actual Base,Development Assistance,DOS and USAID,Democratic Republic of Congo,Health,Water Supply and Sanitation,3000000
2006,FY 2006 Actual Base,Economic Support Fund,DOS and USAID,Afghanistan,Economic Development,Private Sector Competitiveness,7659000
