FiscalYear,QTR,FiscalYearType,AccountName,AgencyName,OperatingUnit,BenefitingCountry,Category,Sector,Amount
2012,4,Obligations,Economic Support Fund,USAID,Afghanistan,Afghanistan,"Democracy, Human Rights, and Governance",Political Competition and Consensus-Building,17140000
2010,3,Obligations,"Assistance for Europe, Eurasia and Central Asia",USAID,Ukraine,Ukraine,"Democracy, Human Rights, and Governance",Good Governance,1383000
2010,1,Obligations,Transition Initiatives,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Venezuela,"Democracy, Human Rights, and Governance",Civil Society,-43.17
2013,2,Obligations,International Disaster Assistance,USAID,Pakistan,Pakistan,Program Management,Direct Administrative Costs,19992.12
2013,1,Obligations,N/A,Peace Corps,Namibia,Namibia,,Economic Development - General,49693.15
2014,3,Obligations,N/A,DOS,Worldwide,Worldwide,,HIV/AIDS,29408.26
2013,2,Obligations,N/A,USAID,Cote d'Ivoire,Cote d'Ivoire,Education and Social Services,Basic Education,61399
2009,4,Obligations,International Disaster Assistance,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Caribbean Region,Humanitarian Assistance,Disaster Readiness,1880793.88
2013,2,Obligations,Global Health & Child Survival,USAID,Thailand,Thailand,Health,HIV/AIDS,240000
2011,4,Obligations,Development Assistance,USAID,Food Security (USAID),Worldwide,Economic Development,Agriculture,105435460
2011,1,Obligations,Operating Expenses,USAID,USAID Administrative Costs,Worldwide,Program Management,Direct Administrative Costs,-29537458.95
2011,3,Obligations,IG Operating Expenses,USAID,USAID Regional Development Mission-Asia,Worldwide,Program Management,Direct Administrative Costs,2943.83
2013,2,Obligations,Economic Support Fund,USAID,"Sudan, Pre-2011 Election","Sudan, Pre-2011 Election",Economic Development,Infrastructure,-1248.22
2011,2,Obligations,Commodity Credit Corporation,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Worldwide,Humanitarian Assistance,"Protection, Assistance and Solutions",-165918.02
2012,2,Obligations,N/A,USAID,Madagascar,Madagascar,Economic Development,Agriculture,2432320
2011,1,Obligations,N/A,Peace Corps,Jordan,Jordan,,Education and Social Services - General,1147412.26
2009,2,Obligations,Assist. For N.I.S Of Former Soviet Union,USAID,Kyrgyz Republic,Kosovo,Economic Development,Financial Sector,-26.46
2011,4,Obligations,Assist. For N.I.S Of Former Soviet Union,USAID,Azerbaijan,Azerbaijan,"Democracy, Human Rights, and Governance",Rule of Law and Human Rights,-5283.62
2011,4,Obligations,Global Health & Child Survival,USAID,Azerbaijan,Azerbaijan,Health,Tuberculosis,782000
2011,4,Obligations,Development Assistance,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Worldwide,"Democracy, Human Rights, and Governance",Good Governance,750000
2013,3,Obligations,Economic Support Fund,USAID,Lebanon,Lebanon,"Democracy, Human Rights, and Governance",Political Competition and Consensus-Building,650000
2012,1,Obligations,"Assistance for Europe, Eurasia and Central Asia",USAID,Ukraine,Ukraine,Program Management,Direct Administrative Costs,109985.92
2010,1,Obligations,Special Assistance Initiatives,USAID,Montenegro,Montenegro,Program Management,Direct Administrative Costs,-4512.08
2013,2,Obligations,N/A,USAID,"Sudan, Pre-2011 Election","Sudan, Pre-2011 Election",Economic Development,Infrastructure,-254657.3
2009,4,Obligations,N/A,MCC,Mongolia,Mongolia,Economic Development,Macroeconomic Foundation for Growth,324999.96
2008,4,Obligations,N/A,MCC,Ghana,Ghana,Economic Development,Agriculture,1
2010,3,Obligations,Operating Expenses,USAID,Ecuador,Worldwide,Program Management,Direct Administrative Costs,891180.15
2013,4,Obligations,N/A,USAID,"Congo, Democratic Republic of","Congo, Democratic Republic of","Democracy, Human Rights, and Governance",Civil Society,13253
2014,2,Obligations,Democracy Fund,USAID,Serbia,Serbia,"Democracy, Human Rights, and Governance",Political Competition and Consensus-Building,-63273.38
2010,4,Obligations,Economic Support Fund,USAID,West Bank and Gaza,West Bank and Gaza,Health,Nutrition,200000
2014,2,Obligations,N/A,MCC,Moldova,Moldova,Multi-Sector,Multi-Sector - Unspecified,801182.86
2013,1,Obligations,N/A,Peace Corps,Rwanda,Rwanda,,Education and Social Services - General,1435319.72
2012,2,Obligations,Development Assistance,USAID,Brazil,Brazil,Program Management,Direct Administrative Costs,26893.51
2013,3,Obligations,Democracy Fund,USAID,Rwanda,Rwanda,"Democracy, Human Rights, and Governance",Political Competition and Consensus-Building,500000
2011,4,Obligations,Assist. For N.I.S Of Former Soviet Union,USAID,Joint Eurasia Regional,Eurasia Region,Education and Social Services,Social Services,-72446.45
2012,4,Obligations,Transition Initiatives,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Afghanistan,Peace and Security,Conflict Mitigation and Reconciliation,12659
2012,1,Obligations,N/A,Peace Corps,Panama,Panama,,Economic Development - General,1284978.57
2014,2,Obligations,N/A,USAID,Senegal,Senegal,Program Management,Monitoring and Evaluation,278596
2012,4,Obligations,Economic Support Fund,USAID,Morocco,Morocco,"Democracy, Human Rights, and Governance",Political Competition and Consensus-Building,-14112.33
2012,2,Obligations,Operating Expenses,USAID,Bangladesh,Worldwide,Program Management,Direct Administrative Costs,2609825.41
2011,4,Obligations,Economic Support Fund,USAID,Zimbabwe,Zimbabwe,Program Management,Direct Administrative Costs,602617.5
2009,4,Obligations,N/A,MCC,Malawi,Malawi,Multi-Sector,Multi-Sector - Unspecified,200630.12
2012,4,Obligations,Economic Support Fund,USAID,USAID Operating Expense,Worldwide,"Democracy, Human Rights, and Governance",Rule of Law and Human Rights,751.68
2010,2,Obligations,International Disaster Assistance,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Eastern European Region,Program Management,Direct Administrative Costs,101003.97
2009,2,Obligations,Assist. For N.I.S Of Former Soviet Union,USAID,USAID Central Asia Regional,Central Asia Region,Program Management,Monitoring and Evaluation,-13922.2
2012,3,Obligations,Development Assistance,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Worldwide,Humanitarian Assistance,"Protection, Assistance and Solutions",5484303.5
2011,2,Obligations,Economic Support Fund,USAID,Iraq,Iraq,Health,Maternal and Child Health,12067914
2014,2,Obligations,Global Health & Child Survival,USAID,Rwanda,Rwanda,Health,Malaria,375000
2009,4,Obligations,Global Health & Child Survival,USAID,USAID Global Health,Ethiopia,Health,Malaria,513000
2010,4,Obligations,Child Survival and Health Programs Fund,USAID,Liberia,Liberia,Health,Malaria,-315
2010,4,Obligations,Child Survival and Health Programs Fund,USAID,USAID Latin America and Caribbean Regional,Latin America and Caribbean Region,Health,Maternal and Child Health,-5796.27
2013,1,Obligations,N/A,Peace Corps,Georgia,Georgia,,Education and Social Services - General,1236977.09
2010,4,Obligations,Development Assistance,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Tanzania,Health,Other Public Health Threats,450000
2013,4,Obligations,Economic Support Fund,USAID,Ukraine,Ukraine,Economic Development,Financial Sector,1000000
2010,3,Obligations,Economic Support Fund,USAID,Afghanistan,Afghanistan,Program Management,Direct Administrative Costs,-402021.11
2013,0,Obligations,N/A,DoD,Colombia,Colombia,Health,HIV/AIDS,406902
2013,3,Obligations,Transition Initiatives,USAID,Lebanon,Lebanon,Program Management,Direct Administrative Costs,263180.5
2014,1,Obligations,N/A,MCC,Lesotho,Lesotho,"Democracy, Human Rights, and Governance",Civil Society,-88032.31
2009,3,Obligations,Global Health & Child Survival,USAID,USAID Southern Africa Regional,South Africa Region,Health,HIV/AIDS,33279.99
2012,4,Obligations,Operating Expenses,USAID,Liberia,Worldwide,Program Management,Direct Administrative Costs,3234640.66
2011,3,Obligations,Gifts and Donations,USAID,Nigeria,Nigeria,"Democracy, Human Rights, and Governance",Civil Society,500000
2009,2,Obligations,Development Assistance,USAID,Asia Middle East Regional,Asia Region,Environment,Clean Productive Environment,98129.78
2009,4,Obligations,Economic Support Fund,USAID,Kenya,Kenya,"Democracy, Human Rights, and Governance",Good Governance,9150000
2013,4,Obligations,Gifts and Donations,USAID,West Africa Region,West Africa Region,Program Management,Direct Administrative Costs,-16863.58
2011,4,Obligations,Economic Support Fund,USAID,Guyana,Guyana,"Democracy, Human Rights, and Governance",Rule of Law and Human Rights,350000
2013,4,Obligations,N/A,USAID,South Africa,South Africa,Program Management,Direct Administrative Costs,183771.96
2011,4,Obligations,Economic Support Fund,USAID,Iraq,Iraq,Health,Maternal and Child Health,2532056
2012,1,Obligations,Economic Support Fund,USAID,Lebanon,Lebanon,Humanitarian Assistance,"Protection, Assistance and Solutions",-66
2010,4,Obligations,Economic Support Fund,USAID,Pakistan,Pakistan,Program Management,Monitoring and Evaluation,23219639.38
2010,3,Obligations,Development Assistance,USAID,USAID Operating Expense,Worldwide,"Democracy, Human Rights, and Governance",Civil Society,51.23
2007,1,Obligations,N/A,MCC,Cape Verde,Cape Verde,Multi-Sector,Multi-Sector - Unspecified,115817.67
2014,2,Obligations,Transition Initiatives,USAID,Haiti,Haiti,Program Management,Direct Administrative Costs,-111493.84
2012,4,Obligations,Global Health & Child Survival,USAID,USAID Operating Expense,Somalia,Program Management,Direct Administrative Costs,6000
2011,4,Obligations,Economic Support Fund,USAID,Pakistan,Pakistan,Education and Social Services,Basic Education,76071625
2013,3,Obligations,Global Health & Child Survival,USAID,Madagascar,Madagascar,Health,Malaria,-83152.85000000001
2011,1,Obligations,Global Health & Child Survival,USAID,Russia,Russia,Program Management,Monitoring and Evaluation,40000
2008,3,Obligations,N/A,MCC,MCC - General Office,MCC - General Office,Multi-Sector,Multi-Sector - Unspecified,1962857.09
2013,1,Obligations,Economic Support Fund,USAID,Pakistan,Pakistan,Program Management,Monitoring and Evaluation,684824.5
2011,4,Obligations,Development Assistance,USAID,Asia Middle East Regional,Asia Region,Environment,Natural Resources and Biodiversity,1105000
2011,2,Obligations,N/A,MCC,Indonesia,Indonesia,Multi-Sector,Multi-Sector - Unspecified,702876.13
2010,4,Obligations,N/A,MCC,MCC - General Office,MCC - General Office,Multi-Sector,Multi-Sector - Unspecified,-1081775.28
2012,2,Obligations,Development Assistance,USAID,Uganda,Uganda,Peace and Security,Conflict Mitigation and Reconciliation,2228253.26
2012,3,Obligations,Economic Support Fund,USAID,Yemen,Yemen,Program Management,Monitoring and Evaluation,1256000
2011,4,Obligations,Global Health & Child Survival,USAID,USAID Global Health,Uganda,Health,Pandemic Influenza and Other Emerging Threats ,331000
2011,1,Obligations,N/A,Peace Corps,"Gambia, The","Gambia, The",,Health - General,522529.39
2013,3,Obligations,Global Health & Child Survival,USAID,"Congo, Republic of","Congo, Republic of",Health,Maternal and Child Health,-8815
2009,1,Obligations,Child Survival and Health Programs Fund,USAID,USAID Global Health,West Africa Region,Health,Pandemic Influenza and Other Emerging Threats ,70.54000000000001
2013,4,Obligations,N/A,USAID,Central Africa Region Program for Environment,Central Africa Region Program for Environment,Environment,Natural Resources and Biodiversity,300000
2009,4,Obligations,Development Assistance,USAID,Philippines,Philippines,Economic Development,Macroeconomic Foundation for Growth,6193
2010,3,Obligations,Economic Support Fund,USAID,Pakistan,Pakistan,"Democracy, Human Rights, and Governance",Civil Society,2000000
2012,3,Obligations,Development Assistance,USAID,"Bureau for Policy, Planning and Learning (USAID)",Worldwide,Program Management,Direct Administrative Costs,19695.35
2013,2,Obligations,Global Health & Child Survival,USAID,Worldwide,Worldwide,Health,HIV/AIDS,35341259.42
2011,1,Obligations,Operating Expenses,USAID,Brazil,Worldwide,Program Management,Direct Administrative Costs,212627.03
2009,4,Obligations,Development Assistance,USAID,Ethiopia,Ethiopia,Economic Development,Private Sector Competitiveness,12951000
2013,3,Obligations,Economic Support Fund,USAID,Afghanistan,Afghanistan,Economic Development,Financial Sector,3990546.01
2010,1,Obligations,Economic Support Fund,USAID,Cambodia,Cambodia,Program Management,Monitoring and Evaluation,58.7
2011,3,Obligations,Development Assistance,USAID,USAID Middle East Regional,South Asia Region,Peace and Security,Counterterrorism,-41515.18
2011,1,Obligations,N/A,USAID,Burundi,Burundi,Humanitarian Assistance,Disaster Readiness,255880
2011,4,Obligations,Child Survival and Health Programs Fund,USAID,USAID Regional Development Mission-Asia,East Asia Region,Health,HIV/AIDS,-139.62
2014,2,Obligations,N/A,USAID,Zambia,Zambia,"Democracy, Human Rights, and Governance",Good Governance,3056.6
2009,,Obligations,N/A,IAF,Colombia,Colombia,,Social Services,41488
2009,1,Obligations,Assist. For N.I.S Of Former Soviet Union,USAID,Kyrgyz Republic,Kosovo,"Democracy, Human Rights, and Governance",Good Governance,22410.7
2011,1,Obligations,N/A,MCC,Benin,Benin,Economic Development,Private Sector Competitiveness,-19479
2009,4,Obligations,Development Assistance,USAID,Bangladesh,Bangladesh,Program Management,Direct Administrative Costs,1207244.58
2011,4,Obligations,N/A,MCC,Tanzania,Tanzania,Economic Development,Infrastructure,3146859
2010,4,Obligations,Transition Initiatives,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Kosovo,Program Management,Direct Administrative Costs,336142.85
2012,2,Obligations,N/A,DOS,Russia,Russia,,Multi-Sector - Unspecified,5072.76
2012,4,Obligations,Special Assistance Initiatives,USAID,Kosovo,Kosovo,Program Management,Monitoring and Evaluation,186293
2009,4,Obligations,Development Assistance,USAID,USAID Office of Development Partners,Brazil,Economic Development,Trade and Investment,-247.56
2013,3,Obligations,Child Survival and Health Programs Fund,USAID,Dominican Republic,Dominican Republic,Health,HIV/AIDS,0
2011,3,Obligations,Global Health & Child Survival,USAID,Asia Middle East Regional,Asia Region,Health,Family Planning and Reproductive Health,172180
2010,4,Obligations,Economic Support Fund,USAID,USAID Africa Regional,Africa Region,Program Management,Monitoring and Evaluation,100000
2011,4,Obligations,Global Health & Child Survival,USAID,Cameroon,Cameroon,Health,HIV/AIDS,2847765
2014,2,Obligations,Global Health & Child Survival,USAID,Guinea,Guinea,Program Management,Direct Administrative Costs,107404.59
2012,4,Obligations,N/A,USAID,"Congo, Democratic Republic of","Congo, Democratic Republic of",Economic Development,Economic Opportunity,113250
2013,3,Obligations,Economic Support Fund,USAID,Ghana,Ghana,Program Management,Monitoring and Evaluation,362065
2013,4,Obligations,Assist. For N.I.S Of Former Soviet Union,USAID,Kyrgyz Republic,Kyrgyz Republic,Program Management,Direct Administrative Costs,-316.6
2012,4,Obligations,Operating Expenses,USAID,Timor-Leste,Worldwide,Program Management,Direct Administrative Costs,1151293.13
2009,4,Obligations,Economic Support Fund,USAID,Cyprus,Cyprus,Peace and Security,Conflict Mitigation and Reconciliation,7522340.79
2013,3,Obligations,Economic Support Fund,USAID,Haiti,Haiti,Peace and Security,Conflict Mitigation and Reconciliation,950115
